label	plist	programs	exists
jp.openclaw.mainstream_supply	/Users/doyopc/Library/LaunchAgents/jp.openclaw.mainstream_supply.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_mainstream_supply.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/mainstream_supply.launchd.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/mainstream_supply.launchd.out	0|1|1
jp.openclaw.market_brain_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.market_brain_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_market_brain_v1.sh	0
jp.openclaw.meeting_orchestrator_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.meeting_orchestrator_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_meeting_orchestrator_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/meeting_orchestrator_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/meeting_orchestrator_v1.err	0|1|1
jp.openclaw.money_learning_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.money_learning_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/generated/run_money_learning_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/money_learning_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/money_learning_v1.err	1|1|1
jp.openclaw.money_loop_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.money_loop_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/generated/run_money_loop_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/money_loop_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/money_loop_v1.err	1|1|1
jp.openclaw.open_pr_guard_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.open_pr_guard_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_open_pr_guard_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/open_pr_guard_v1.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/open_pr_guard_v1.out	0|1|1
jp.openclaw.ops_brain_agent_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.ops_brain_agent_v1.plist		
jp.openclaw.ops_brain_watcher_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.ops_brain_watcher_v1.plist		
jp.openclaw.ops_exec_watchdog_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.ops_exec_watchdog_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/data/skill_repos/agent-framework/python/.venv/bin/python|/Users/doyopc/AI/openclaw-factory-daemon/bots/ops_exec_watchdog_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/ops_exec_watchdog_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/ops_exec_watchdog_v1.err	1|1|1|1
jp.openclaw.ops_supply_engine	/Users/doyopc/Library/LaunchAgents/jp.openclaw.ops_supply_engine.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_ops_supply_engine.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/ops_supply_engine.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/ops_supply_engine.launchd.err	0|0|0
jp.openclaw.order_api_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.order_api_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/generated/run_order_api_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/order_api_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/order_api_v1.err	1|1|1
jp.openclaw.parse_dev_reply_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.parse_dev_reply_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_parse_dev_reply_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/parse_dev_reply_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/parse_dev_reply_v1.launchd.err	0|0|0
jp.openclaw.pattern_extractor_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.pattern_extractor_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_pattern_extractor_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.pattern_extractor_v1.launchd.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.pattern_extractor_v1.launchd.out	0|1|1
jp.openclaw.pr_stall_watchdog_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.pr_stall_watchdog_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_pr_stall_watchdog_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.pr_stall_watchdog_v1.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.pr_stall_watchdog_v1.out	0|1|1
jp.openclaw.private_reply_to_inbox_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.private_reply_to_inbox_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_private_reply_to_inbox_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.private_reply_to_inbox_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.private_reply_to_inbox_v1.launchd.err	1|1|1
jp.openclaw.project_brain_v4	/Users/doyopc/Library/LaunchAgents/jp.openclaw.project_brain_v4.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_project_brain_v4.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/project_brain_v4.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/project_brain_v4.launchd.err	0|0|0
jp.openclaw.project_runner_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.project_runner_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/project_runner_v1.py	0
jp.openclaw.proposal_builder_loop_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.proposal_builder_loop_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_proposal_builder_loop_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/proposal_builder_loop_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/proposal_builder_loop_v1.launchd.err	0|1|1
jp.openclaw.proposal_cluster_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.proposal_cluster_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_proposal_cluster_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.proposal_cluster_v1.launchd.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.proposal_cluster_v1.launchd.out	0|1|1
jp.openclaw.proposal_dedupe_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.proposal_dedupe_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_proposal_dedupe_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/proposal_dedupe_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/proposal_dedupe_v1.err	0|1|1
jp.openclaw.proposal_promoter_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.proposal_promoter_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_proposal_promoter_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/proposal_promoter_v1.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/proposal_promoter_v1.out	0|1|1
jp.openclaw.proposal_ranking_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.proposal_ranking_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_proposal_ranking_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.proposal_ranking_v1.launchd.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.proposal_ranking_v1.launchd.out	0|1|1
jp.openclaw.proposal_throttle_engine_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.proposal_throttle_engine_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_proposal_throttle_engine_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/proposal_throttle_engine_v1.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/proposal_throttle_engine_v1.out	0|1|1
jp.openclaw.py	/Users/doyopc/Library/LaunchAgents/jp.openclaw.py.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_py.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/py.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/py.launchd.err	1|0|0
jp.openclaw.reasoning_engine_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.reasoning_engine_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/reasoning_engine_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/reasoning_engine_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/reasoning_engine_v1.err	0|1|1
jp.openclaw.reflection_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.reflection_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_reflection_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/reflection_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/reflection_v1.launchd.err	0|1|1
jp.openclaw.reflection_worker_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.reflection_worker_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_reflection_worker_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/reflection_worker_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/reflection_worker_v1.launchd.err	0|1|1
jp.openclaw.repo_exec_category_feedback_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.repo_exec_category_feedback_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/repo_exec_category_feedback_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/repo_exec_category_feedback_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/repo_exec_category_feedback_v1.err	0|1|1
jp.openclaw.repo_exec_feedback_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.repo_exec_feedback_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/repo_exec_feedback_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/repo_exec_feedback_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/repo_exec_feedback_v1.err	0|1|1
jp.openclaw.repo_exec_live_feedback_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.repo_exec_live_feedback_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/repo_exec_live_feedback_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/repo_exec_live_feedback_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/repo_exec_live_feedback_v1.err	0|1|1
jp.openclaw.repo_exec_optimizer_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.repo_exec_optimizer_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/repo_exec_optimizer_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/repo_exec_optimizer_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/repo_exec_optimizer_v1.err	0|1|1
jp.openclaw.repo_exec_retry_feedback_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.repo_exec_retry_feedback_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/repo_exec_retry_feedback_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/repo_exec_retry_feedback_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/repo_exec_retry_feedback_v1.err	0|1|1
jp.openclaw.repo_exec_retry_router_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.repo_exec_retry_router_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/repo_exec_retry_router_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/repo_exec_retry_router_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/repo_exec_retry_router_v1.err	0|1|1
jp.openclaw.repo_exec_router_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.repo_exec_router_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/repo_exec_router_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/repo_exec_router_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/repo_exec_router_v1.err	0|1|1
jp.openclaw.revenue_brain_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.revenue_brain_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_revenue_brain_v1.sh	0
jp.openclaw.revenue_engine	/Users/doyopc/Library/LaunchAgents/jp.openclaw.revenue_engine.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_revenue_engine.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/revenue_engine.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/revenue_engine.launchd.err	0|0|0
jp.openclaw.router_reply_finisher_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.router_reply_finisher_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_router_reply_finisher_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/router_reply_finisher_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/router_reply_finisher_v1.launchd.err	1|1|1
jp.openclaw.router_stall_watchdog_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.router_stall_watchdog_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_router_stall_watchdog_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.router_stall_watchdog_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.router_stall_watchdog_v1.err	0|1|1
jp.openclaw.router_timeout_fallback_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.router_timeout_fallback_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_router_timeout_fallback_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.router_timeout_fallback_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.router_timeout_fallback_v1.err	0|1|1
jp.openclaw.router_timeout_watchdog_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.router_timeout_watchdog_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/logs/router_timeout_watchdog_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/router_timeout_watchdog_v1.launchd.err	1|1
jp.openclaw.schema_guardian_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.schema_guardian_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_schema_guardian_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/schema_guardian_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/schema_guardian_v1.launchd.err	0|0|0
jp.openclaw.schema_migration_engine_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.schema_migration_engine_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_schema_migration_engine_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/schema_migration_engine_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/schema_migration_engine_v1.launchd.err	0|0|0
jp.openclaw.scout_market_v2	/Users/doyopc/Library/LaunchAgents/jp.openclaw.scout_market_v2.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_scout_market_v2.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/scout_market_v2.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/scout_market_v2.launchd.err	0|1|1
jp.openclaw.secretary_llm_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.secretary_llm_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/logs/secretary_llm_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/secretary_llm_v1.launchd.err	1|1
jp.openclaw.self_evolution_applier_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.self_evolution_applier_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/self_evolution_applier_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_evolution_applier_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_evolution_applier_v1.err	0|1|1
jp.openclaw.self_evolution_exec_router_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.self_evolution_exec_router_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/self_evolution_exec_router_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_evolution_exec_router_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_evolution_exec_router_v1.err	0|1|1
jp.openclaw.self_evolution_planner_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.self_evolution_planner_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/self_evolution_planner_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_evolution_planner_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_evolution_planner_v1.err	0|1|1
jp.openclaw.self_evolution_reporter_loop_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.self_evolution_reporter_loop_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/self_evolution_reporter_loop_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_evolution_reporter_loop_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_evolution_reporter_loop_v1.err	0|1|1
jp.openclaw.self_healing_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.self_healing_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/logs/self_healing_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_healing_v1.launchd.err	0|0
jp.openclaw.self_healing_v2	/Users/doyopc/Library/LaunchAgents/jp.openclaw.self_healing_v2.plist	/Users/doyopc/AI/openclaw-factory-daemon/logs/self_healing_v2.launchd.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_healing_v2.launchd.out	0|0
jp.openclaw.self_improvement_feedback_metrics_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.self_improvement_feedback_metrics_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_self_improvement_feedback_metrics_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_improvement_feedback_metrics_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_improvement_feedback_metrics_v1.err	1|1|1
jp.openclaw.self_improvement_pattern_bridge_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.self_improvement_pattern_bridge_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_self_improvement_pattern_bridge_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_improvement_pattern_bridge_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_improvement_pattern_bridge_v1.err	1|1|1
jp.openclaw.self_improvement_to_learning_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.self_improvement_to_learning_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_self_improvement_to_learning_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_improvement_to_learning_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_improvement_to_learning_v1.err	1|1|1
jp.openclaw.self_repair_engine	/Users/doyopc/Library/LaunchAgents/jp.openclaw.self_repair_engine.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_self_repair_engine.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_repair_engine.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_repair_engine.launchd.err	0|0|0
jp.openclaw.self_strength_watchdog_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.self_strength_watchdog_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_self_strength_watchdog_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_strength_watchdog_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/self_strength_watchdog_v1.err	0|1|1
jp.openclaw.spec_decomposer_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.spec_decomposer_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_spec_decomposer_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/spec_decomposer_v1.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/spec_decomposer_v1.out	0|1|1
jp.openclaw.spec_notify_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.spec_notify_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_spec_notify_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/spec_notify_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/spec_notify_v1.launchd.err	0|0|0
jp.openclaw.spec_refiner_v2	/Users/doyopc/Library/LaunchAgents/jp.openclaw.spec_refiner_v2.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_spec_refiner_v2.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/spec_refiner_v2.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/spec_refiner_v2.launchd.err	0|1|1
jp.openclaw.strategy_engine_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.strategy_engine_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/strategy_engine_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/strategy_engine_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/strategy_engine_v1.err	0|1|1
jp.openclaw.supply_adoption_metrics_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.supply_adoption_metrics_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_supply_adoption_metrics_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/supply_adoption_metrics_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/supply_adoption_metrics_v1.launchd.err	0|0|0
jp.openclaw.supply_bias_updater_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.supply_bias_updater_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_supply_bias_updater_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.supply_bias_updater_v1.launchd.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.supply_bias_updater_v1.launchd.out	0|1|1
jp.openclaw.system_health_report_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.system_health_report_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/system_health_report_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/system_health_report_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/system_health_report_v1.err	1|1|1
jp.openclaw.target_policy_guard_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.target_policy_guard_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_target_policy_guard_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/target_policy_guard_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/target_policy_guard_v1.launchd.err	0|1|1
jp.openclaw.task_router_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.task_router_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/logs/task_router_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/task_router_v1.launchd.err	1|1
jp.openclaw.tech_adoption_scout_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.tech_adoption_scout_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/tech_adoption_scout_v1.py	1
jp.openclaw.telegram_ops_executor_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.telegram_ops_executor_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/telegram_ops_executor_v1.py	1
jp.openclaw.telegram_os_creative_pipeline_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.telegram_os_creative_pipeline_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_telegram_os_creative_pipeline_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/telegram_os_creative_pipeline_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/telegram_os_creative_pipeline_v1.err	1|1|1
jp.openclaw.telegram_os_outbox_sender_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.telegram_os_outbox_sender_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_conversation_outbox_sender_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/telegram_os_outbox_sender_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/telegram_os_outbox_sender_v1.err	1|1|1
jp.openclaw.telegram_report_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.telegram_report_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/generated/run_telegram_report_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/telegram_report_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/telegram_report_v1.err	1|1|1
jp.openclaw.tg_poll_loop	/Users/doyopc/Library/LaunchAgents/jp.openclaw.tg_poll_loop.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/tg_poll_loop.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/tg_poll_loop.launchd.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/tg_poll_loop.launchd.out	1|1|1
jp.openclaw.tg_poll_loop_v2	/Users/doyopc/Library/LaunchAgents/jp.openclaw.tg_poll_loop_v2.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_tg_poll_loop_v2.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/tg_poll_loop_v2.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/tg_poll_loop_v2.launchd.err	0|0|0
jp.openclaw.tg_send_reflection_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.tg_send_reflection_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_tg_send_reflection_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/tg_send_reflection_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/tg_send_reflection_v1.launchd.err	0|1|1
jp.openclaw.tmp_exec_html_builder_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.tmp_exec_html_builder_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/tmp_exec_html_builder_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/tmp_exec_html_builder_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/tmp_exec_html_builder_v1.err	0|1|1
jp.openclaw.update_pr_created	/Users/doyopc/Library/LaunchAgents/jp.openclaw.update_pr_created.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_update_pr_created.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/update_pr_created.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/update_pr_created.launchd.err	0|1|1
jp.openclaw.validated_skill_reuse_router_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.validated_skill_reuse_router_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/validated_skill_reuse_router_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/validated_skill_reuse_router_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/validated_skill_reuse_router_v1.err	0|1|1
